,species,name,sigma,eta,molecular_weight,a1,a2,a3,a4,a5,a6,a7,a8,a9
0,Air,Air,3.711,78.6,28.9651784,241521.443,-1257.8746,5.14455867,-0.000213854179,7.06522784e-08,-1.07148349e-11,6.57780015e-16,6462.26319,-8.14740867
1,Ar,Argon,3.542,93.3,39.948,20.10538475,-0.0599266107,2.500069401,-3.99214116e-08,1.20527214e-11,-1.819015576e-15,1.078576636e-19,-744.993961,4.37918011
4,BCl3,Boron chloride,5.127,337.7,117.17,-2420000000.0,-2920000.0,102000.0,-0.862,0.00019,-2.17e-08,1e-12,,
5,BF3,Boron fluoride,4.198,186.3,67.8062096,-181976.7014,-1405.347931,11.03412258,-0.000410459105,9.03127757e-08,-1.03305736e-11,4.78055183e-16,-132313.6863,-37.3838608
6,Br2,Bromine,4.296,507.9,159.808,-4311698.57,11112.68634,-5.55577561,0.00363051659,-2.754164226e-07,-6.21750676e-11,7.37534162e-15,-70365.8416,78.7847802
7,C(CH3)4,"2,2-Dimethylpropane",6.464,193.4,72.14878,168000000000.0,-598000000.0,869000.0,-96.2,0.0165,-1.67e-06,7.37e-11,,
8,C2H2,Acetylene,4.033,231.8,26.03728,19400000000.0,-68900000.0,134000.0,-9.37,0.00147,-1.22e-07,4.12e-12,,
9,C2H4,Ethylene,4.163,224.7,28.05316,3408725.12,-13748.3642,23.6588483,-0.00242372856,4.43116915e-07,-4.3523484e-11,1.7752182900000002e-15,88203.5634,-137.1268982
12,C2H5OH,Ethanol,4.53,362.6,46.06844,4694781.59,-19297.89472,34.4757599,-0.0032361295,5.78486089e-07,-5.56449522e-11,2.2261750960000002e-15,86015.652,-203.4795998
13,C2H6,Ethane,4.443,215.7,30.06904,5025809.41,-20330.3046,33.2256212,-0.00383675415,7.23854996e-07,-7.31938449e-11,3.0655799500000004e-15,111596.908,-203.9417458
14,C2N2,Cyanogen,4.361,348.6,52.03488,795063.152,-4001.90081,13.14975564,-0.000877407925,2.066532979e-07,-2.210686446e-11,1.002915169e-15,58665.4402,-54.7669613
15,C3H6,Cyclopropane,4.807,248.9,42.07974,50200000000.0,-209000000.0,364000.0,-38.8,0.00728,-7.32e-07,3.05e-11,,
16,C3H8,Propane,5.118,237.1,44.09562,6421429.17,-26600.1757,45.3451297,-0.00502125648,9.472478e-07,-9.57680928e-11,4.010308060000001e-15,145572.981,-281.8493672
17,C6H12,Cyclohexane,6.182,297.1,84.15948,7330000000.0,-145000000.0,467000.0,31.7,-0.00524,4.28e-07,-1.47e-11,,
18,C6H6,Benzene,5.349,412.3,78.11184,4549770.27,-22615.3394,46.922072,-0.00419680822,7.87029727e-07,-7.91921643e-11,3.30343e-15,139238.84,-286.7689812
19,CCl4,Carbon tetrachloride,5.947,322.7,153.8227,-3040000000.0,-2170000.0,132000.0,-0.643,0.000142,-1.62e-08,7.48e-13,,
20,CF4,Carbon tetrafluoride,4.662,134.0,88.0043128,-416418.379,-1414.899259,14.05138627,-0.000419996407,9.28167764e-08,-1.06499641e-11,4.939554390000001e-16,-109514.1882,-54.87202173
22,CH2Cl2,Methylene chloride,4.898,356.3,84.93258,15300000000.0,-69800000.0,169000.0,-12.7,0.00234,-2.33e-07,9.63e-12,,
23,CH3Br,Methyl bromide,4.118,449.2,94.93852,2524823.219,-10118.62235,18.65887871,-0.001797601631,3.29833166e-07,-3.25066731e-11,1.330055934e-15,55409.6786,-97.78555538
24,CH3CCH,Methylacetylene,4.761,251.8,40.06386,37100000000.0,-149000000.0,273000.0,-26.5,0.00486,-4.79e-07,1.96e-11,,
25,CH3COCH3,Acetone,4.6,560.2,58.07914,50000000000.0,-217000000.0,396000.0,-41.8,0.00796,-8.12e-07,3.43e-11,,
28,CH3Cl,Methyl chloride,4.182,350.0,50.48752,25200000000.0,-103000000.0,188000.0,-18.7,0.00347,-3.46e-07,1.43e-11,,
29,CH3OCH3,Methyl ther,4.307,395.0,46.06844,4933577.31,-20830.9438,36.2905242,-0.00410836627,7.9032699e-07,-8.13151264e-11,3.4582115e-15,101330.118,-218.544815
30,CH3OH,Methanol,3.626,481.8,32.04186,3411560.75,-13454.9745,22.614046,-0.00214101199,3.72999754e-07,-3.49876332e-11,1.36602214e-15,56360.6386,-127.781226
31,CH4,Methane,3.758,148.6,16.04246,3746265.7,-13888.5134,20.5402982,-0.00194419693,4.32387145e-07,-4.06101278e-11,1.6431592700000002e-15,75659.8868,-122.2977672
32,CHCl3,Chloroform,5.389,340.2,119.37764,6140000000.0,-37200000.0,151000.0,2.36,0.0013,-1.27e-07,5.26e-12,,
33,CO,Carbon monoxide,3.69,91.7,28.0101,461915.856,-1944.685748,5.91664709,-0.000566423407,1.398802571e-07,-1.787664983e-11,9.620850400000001e-16,-2465.738441,-13.87402604
34,CO2,Carbon dioxide,3.941,195.2,44.0095,117696.9434,-1788.801467,8.29154353,-9.22477831e-05,4.86963541e-09,-1.892063841e-12,6.33067509e-16,-39083.4501,-26.52683962
35,COS,Carbonyl sulfide,4.13,336.0,60.0761,195869.6362,-1756.061149,8.71032183,-0.000413887821,1.015099651e-07,-1.159420921e-11,5.690088200000001e-16,-8927.78737,-26.36247495
36,CS2,Carbon disulfide,4.483,467.0,76.1427,-1390420.939,3354.97003,3.019263826,0.002876423317,-9.07675673e-07,1.374080885e-10,-6.9995071900000005e-15,-10138.95456,15.65106491
37,Cl2,Chlorine,4.217,316.0,70.906,60900000000.0,-195000000.0,285000.0,-145.0,0.0446,-6.36e-06,3.33e-10,,
38,F2,Fluorine,3.357,112.6,37.9968064,-2941167.79,9456.5977,-7.73861615,0.00764471299,-2.241007605e-06,2.915845236e-10,-1.425033974e-14,-60710.0561,84.2383508
39,H2,Hydrogen,2.827,59.7,2.01588,560812.338,-837.149134,2.97536304,0.00125224993,-3.74071842e-07,5.93662825e-11,-3.6069957300000004e-15,5339.81585,-2.20276405
40,H2O,Water,2.641,809.1,18.01528,1034972.096,-2412.698562,4.64611078,0.002291998307,-6.83683048e-07,9.42646893e-11,-4.822380530000001e-15,-13842.86509,-7.97814851
41,H2O2,Hydrogen peroxide,4.196,289.3,34.01468,1489428.027,-5170.82178,11.2820497,-8.04239779e-05,-1.818383769e-08,6.94726559e-12,-4.8278319e-16,14182.51038,-46.5085566
42,H2S,Hydrogen sulfide,3.623,301.1,34.08188,1432316.933,-5290.96566,10.16831761,-0.000972130684,2.11965769e-07,-2.180371327e-11,9.37285823e-16,29131.39316,-43.5420197
43,HBr,Hydrogen bromide,3.353,449.0,80.91194,1170033.949,-3786.52101,7.50314805,-0.001284963943,3.20625719e-07,-3.44492516e-11,1.126758417e-15,18564.13349,-25.62712911
44,HCN,Hydrogen cyanide,3.63,569.1,27.02538,1236898.25,-4446.76184,9.73891163,-0.00058553981,1.07285501e-07,-1.0134036e-11,3.34873666e-16,42445.9481,-40.0580075
45,HCl,Hydrogen chloride,3.339,344.7,36.46094,9160000000.0,-27700000.0,59700.0,-3.63,0.000474,2.81e-08,-6.66e-12,,
46,HF,Hydrogen fluoride,3.148,330.0,20.0063432,725708.904,-1484.797741,3.85552747,0.000713898985,-2.106757333e-07,3.050092453e-11,-1.639495583e-15,-23554.5666,-3.20385683
47,HI,Hydrogen iodide,4.211,288.7,127.91241,0.0,0.0,2.9104008,0.0015688188,-5.9227632e-07,1.0537094e-10,-7.0375116e-15,2250.8659,7.86447051
48,He,Helium,2.551,10.22,4.002602,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,0.928723974
49,Hg,Mercury,2.969,750.0,200.59,51465.7351,-168.1269855,2.718343098,-0.0001445026192,5.15897766e-08,-9.47248501e-12,7.034797405999999e-16,7688.68493,5.27123609
50,HgBr2,Mercuric bromide,5.08,686.2,360.398,0.0,0.0,7.422699,7.8687663e-05,-2.9910307e-08,4.8498228e-12,-2.7930933e-16,-12522.02,-3.86733971
53,I2,Iodine,5.16,474.2,253.80894,-5632594.16,17939.6156,-17.23055169,0.0124421408,-3.33276858e-06,4.12547794e-10,-1.9604617130000003e-14,-106850.5292,160.0531883
54,Kr,Krypton,3.655,178.9,83.8,264.3639057,-0.791005082,2.500920585,-5.32816411e-07,1.620730161e-10,-2.467898017e-14,1.47858504e-18,-740.348894,5.48439815
55,N2,Nitrogen,3.798,71.4,28.01348,587712.406,-2239.249073,6.06694922,-0.00061396855,1.491806679e-07,-1.923105485e-11,1.061954386e-15,12832.10415,-15.86639599
56,N2O,Nitrous oxide,3.828,232.4,44.01288,343844.804,-2404.557558,9.12563622,-0.000540166793,1.315124031e-07,-1.4142151e-11,6.38106687e-16,21986.32638,-31.47804743
57,NH3,Ammonia,2.9,558.3,17.03056,2452389.535,-8040.89424,12.71346201,-0.000398018658,3.55250275e-08,2.53092357e-12,-3.32270053e-16,43861.9196,-64.6233025
58,NO,Nitric oxide,3.492,116.7,30.00614,223901.8716,-1289.651623,5.43393603,-0.00036560349,9.88096645e-08,-1.416076856e-11,9.38018462e-16,17503.17656,-8.50166709
59,NOCl,Nitrosyl chloride,4.112,395.3,65.4591,-6130000000.0,-3920000.0,91400.0,-26.1,0.013,-2.22e-06,1.28e-10,,
60,Ne,Neon,2.82,32.8,20.1797,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,3.35532272
61,O2,Oxygen,3.467,106.7,31.9988,-1037939.022,2344.830282,1.819732036,0.001267847582,-2.188067988e-07,2.053719572e-11,-8.19346705e-16,-16890.10929,17.38716506
62,PH3,Phosphine,3.981,251.5,33.997581,0.0,0.0,3.3448794,0.0065770941,-2.6336755e-06,4.774466e-10,-3.235439e-14,-816.176752,3.954796216
63,SF6,Sulfur hexafluoride,5.128,222.1,146.0564192,-730673.374,-636.699172,19.4744178,-0.000189425174,4.17844694e-08,-4.78320471e-12,2.2130999000000002e-16,-151061.021,-81.4756614
64,SO2,Sulfur dioxide,4.112,335.4,64.0648,-112764.0116,-825.226138,7.61617863,-0.000199932761,5.65563143e-08,-5.45431661e-12,2.9182941019999996e-16,-33513.0869,-16.55773744
65,SiF4,Silicon tetrafluoride,4.88,171.9,104.0791128,-387374.88,-629.678137,13.4701704,-0.000188239549,4.16377526e-08,-4.77871268e-12,2.21619534e-16,-195789.581,-46.5231317
66,SiH4,Silicon hydride,4.084,207.6,32.11726,1290384.93,-7813.43076,18.2885625,-0.00197565052,4.156596e-07,-4.59688858e-11,2.0728601500000003e-15,47669.0657,-98.0172942
67,SnBr4,Stannic bromide,6.388,563.7,438.326,-51768.1292,-7.42612695,13.00619502,-2.692587978e-06,6.3367598e-10,-7.62708719e-14,3.671112e-18,-43001.6634,-24.71455118
68,UF6,Uranium hexafluoride,5.967,236.8,352.0193292,-3410000000.0,-1460000.0,191000.0,-0.436,9.62e-05,-1.1e-08,5.09e-13,,
69,Xe,Xenon,4.047,231.0,131.29,4025.22668,-12.09507521,2.514153347,-8.24810208e-06,2.530232618e-09,-3.89233323e-13,2.360439138e-17,-668.580073,6.06367644
70,iso-C4H10,Isobutane,5.278,330.1,58.1222,75300000000.0,-320000000.0,570000.0,-60.6,0.0114,-1.16e-06,4.85e-11,,
71,n-C3H7OH,n-Propyl alcohol,4.549,576.7,60.09502,63100000000.0,-264000000.0,472000.0,-46.4,0.00859,-8.68e-07,3.64e-11,,
72,n-C4H10,n-Butane,4.687,531.4,58.1222,76800000000.0,-326000000.0,574000.0,-62.0,0.0118,-1.22e-06,5.25e-11,,
73,n-C5H12,n-Pentane,5.784,341.1,72.14878,-25300000000.0,-89700000.0,454000.0,-26.3,0.0314,-5.32e-06,2.89e-10,,
74,n-C6H14,n-Hexane,5.949,399.3,86.17536,-31100000000.0,-73500000.0,469000.0,16.9,0.0207,-4.21e-06,2.45e-10,,
